domain,id,question,answer,notes,source
Audit Assurance & Compliance,AAC-03.2,Do you have the capability to recover data for a specific customer in the case of a failure or data loss?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Audit Assurance & Compliance,AAC-03.3,Do you have the capability to restrict the storage of customer data to specific countries or geographic locations?,Yes,"Data stays on infrastructure the customer runs. The data-residency policy restricts which jurisdictions model requests may go to, refusing others before any connection is made.",https://github.com/AxsionDev/Lunos/blob/dev/docs/data-residency.md
Audit Assurance & Compliance,AAC-03.4,"Do you have a program in place that includes the ability to monitor changes to the regulatory requirements in relevant jurisdictions, adjust your security program for changes to legal requirements, and ensure compliance with relevant regulatory requirements?",Partial,"Regulatory questions are tracked as project decisions (the CRA assessment, the sovereignty claim table), with named re-assessment triggers. There is no formal regulatory monitoring program.",https://github.com/AxsionDev/Lunos/blob/dev/docs/trust/cra-readiness.md
Business Continuity Management & Operational Resilience,BCR-01.1,Do you provide tenants with geographically resilient hosting options?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-01.2,Do you provide tenants with infrastructure service failover capability to other providers?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-02.1,Are business continuity plans subject to testing at planned intervals or upon significant organizational or environmental changes to ensure continuing effectiveness?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-03.1,Do you provide tenants with documentation showing the transport route of their data between your systems?,Yes,The deployment guide documents every destination Lunos sends data to and what is sent.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md#3-where-your-data-goes
Business Continuity Management & Operational Resilience,BCR-03.2,Can tenants define how their data is transported and through which legal jurisdictions?,Yes,"The customer chooses the model provider, and the data-residency policy restricts which jurisdictions requests may go to.",https://github.com/AxsionDev/Lunos/blob/dev/docs/data-residency.md
Business Continuity Management & Operational Resilience,BCR-04.1,"Are information system documents (e.g., administrator and user guides, architecture diagrams, etc.) made available to authorized personnel to ensure configuration, installation and operation of the information system?",Yes,"Installation, configuration and user documentation, and a data-flow description, are published.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-05.1,"Is physical protection against damage (e.g., natural causes, natural disasters, deliberate attacks) anticipated and designed with countermeasures applied?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-06.1,"Are any of your data centers located in places that have a high probability/occurrence of high-impact environmental risks (floods, tornadoes, earthquakes, hurricanes, etc.)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-07.1,"If using virtual infrastructure, does your cloud solution include independent hardware restore and recovery capabilities?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-07.2,"If using virtual infrastructure, do you provide tenants with a capability to restore a Virtual Machine to a previous state in time?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-07.3,"If using virtual infrastructure, do you allow virtual machine images to be downloaded and ported to a new cloud provider?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-07.4,"If using virtual infrastructure, are machine images made available to the customer in a way that would allow the customer to replicate those images in their own off-site storage location?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-07.5,Does your cloud solution include software/provider independent restore and recovery capabilities?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-08.1,"Are security mechanisms and redundancies implemented to protect equipment from utility service outages (e.g., power failures, network disruptions, etc.)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-09.1,Do you provide tenants with ongoing visibility and reporting of your operational Service Level Agreement (SLA) performance?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-09.2,"Do you make standards-based information security metrics (CSA, CAMM, etc.) available to your tenants?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-09.3,Do you provide customers with ongoing visibility and reporting of your SLA performance?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-10.1,Are policies and procedures established and made available for all personnel to adequately support services operations’ roles?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Business Continuity Management & Operational Resilience,BCR-11.1,Do you have technical control capabilities to enforce tenant data retention policies?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-11.2,Do you have a documented procedure for responding to requests for tenant data from governments or third parties?,N/A,"ITService EOOD holds no customer data, so it has none to produce in response to a request. A procedure for such requests is an organisational matter for Axsion.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-11.4,"Have you implemented backup or redundancy mechanisms to ensure compliance with regulatory, statutory, contractual or business requirements?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Business Continuity Management & Operational Resilience,BCR-11.5,Do you test your backup or redundancy mechanisms at least annually?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Change Control & Configuration Management,CCC-01.1,"Are policies and procedures established for management authorization for development or acquisition of new applications, systems, databases, infrastructure, services, operations and facilities?",Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Change Control & Configuration Management,CCC-01.2,"Is documentation available that describes the installation, configuration, and use of products/services/features?",Yes,"Installation, configuration and usage documentation is published.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Change Control & Configuration Management,CCC-02.1,Do you have controls in place to ensure that standards of quality are being met for all software development?,Partial,"Every pull request runs typecheck, unit, end-to-end and Nix checks. Branch protection is not enabled, so passing checks is not enforced before merge.",https://github.com/AxsionDev/Lunos/blob/dev/.github/workflows/test.yml
Change Control & Configuration Management,CCC-02.2,Do you have controls in place to detect source code security defects for any outsourced software development activities?,N/A,Development is not outsourced. Lunos incorporates upstream opencode as open source.,
Change Control & Configuration Management,CCC-03.1,Do you provide your tenants with documentation that describes your quality assurance process?,Partial,The CI checks are visible in the public repository. No separate QA-process document is published.,https://github.com/AxsionDev/Lunos/blob/dev/.github/workflows/
Change Control & Configuration Management,CCC-03.2,Is documentation describing known issues with certain products/services available?,Yes,Known limitations are listed in the deployment guide and SECURITY.md.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md#7-known-limitations--stated-not-buried
Change Control & Configuration Management,CCC-03.3,Are there policies and procedures in place to triage and remedy reported bugs and security vulnerabilities for product and service offerings?,Yes,Security vulnerabilities: a documented intake-to-disclosure process. Bugs: GitHub issues.,https://github.com/AxsionDev/Lunos/blob/dev/SECURITY.md
Change Control & Configuration Management,CCC-03.4,Are mechanisms in place to ensure that all debugging and test code elements are removed from released software versions?,No,Not verified by a dedicated control.,
Change Control & Configuration Management,CCC-04.1,Do you have controls in place to restrict and monitor the installation of unauthorized software onto your systems?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Change Control & Configuration Management,CCC-05.1,Do you provide tenants with documentation that describes your production change management procedures and their roles/rights/responsibilities within it?,Partial,"Every change is a public pull request, and releases carry a changelog. There is no production service to change-manage.",https://github.com/AxsionDev/Lunos/blob/dev/CHANGELOG.md
Data Security & Information Lifecycle Management,DSI-01.1,"Do you provide a capability to identify virtual machines via policy tags/metadata (e.g., tags can be used to limit guest operating systems from booting/instantiating/transporting data in the wrong country)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-01.2,"Do you provide a capability to identify hardware via policy tags/metadata/hardware tags (e.g., TXT/TPM, VN-Tag, etc.)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-01.3,Do you have a capability to use system geographic location as an authentication factor?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-01.4,Can you provide the physical location/geography of storage of a tenant’s data upon request?,Yes,"Customer data is stored on infrastructure the customer runs, so its location is the customer's choice.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-01.5,Can you provide the physical location/geography of storage of a tenant's data in advance?,Yes,As above: the customer chooses where Lunos runs and stores its local state.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-01.6,"Do you follow a structured data-labeling standard (e.g., ISO 15489, Oasis XML Catalog Specification, CSA data type guidance)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-01.7,Do you allow tenants to define acceptable geographical locations for data routing or resource instantiation?,Yes,The data-residency policy restricts the jurisdictions model requests may be routed to.,https://github.com/AxsionDev/Lunos/blob/dev/docs/data-residency.md
Data Security & Information Lifecycle Management,DSI-02.1,"Do you inventory, document, and maintain data flows for data that is resident (permanent or temporary) within the services' applications and infrastructure network and systems?",Yes,Data flows are documented in the deployment guide.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md#3-where-your-data-goes
Data Security & Information Lifecycle Management,DSI-02.2,Can you ensure that data does not migrate beyond a defined geographical residency?,Partial,"With a residency policy set, Lunos refuses model requests to providers outside the allowed jurisdictions and records every call in the audit log. What a permitted provider does with the data is governed by the customer's agreement with it.",https://github.com/AxsionDev/Lunos/blob/dev/docs/data-residency.md
Data Security & Information Lifecycle Management,DSI-03.1,"Do you provide open encryption methodologies (3.4ES, AES, etc.) to tenants in order for them to protect their data if it is required to move through public networks (e.g., the Internet)?",Partial,Lunos connects to model providers over the endpoints the customer configures; hosted providers use HTTPS. Transport security for self-hosted endpoints is the customer's configuration.,
Data Security & Information Lifecycle Management,DSI-03.2,"Do you utilize open encryption methodologies any time your infrastructure components need to communicate with each other via public networks (e.g., Internet-based replication of data from one environment to another)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-04.1,"Are policies and procedures established for labeling, handling and the security of data and objects that contain data?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-04.2,Are mechanisms for label inheritance implemented for objects that act as aggregate containers for data?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-05.1,Do you have procedures in place to ensure production data shall not be replicated or used in non-production environments?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-06.1,"Are the responsibilities regarding data stewardship defined, assigned, documented, and communicated?",Yes,Responsibilities are documented: the customer operates Lunos and chooses the provider; ITService EOOD is not in the data path.,https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md#6-what-you-need-to-provide
Data Security & Information Lifecycle Management,DSI-07.1,"Do you support secure deletion (e.g., degaussing/cryptographic wiping) of archived and backed-up data as determined by the tenant?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Data Security & Information Lifecycle Management,DSI-07.2,"Can you provide a published procedure for exiting the service arrangement, including assurance to sanitize all computing resources of tenant data once a customer has exited your environment or has vacated a resource?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-01.1,Do you maintain a complete inventory of all of your critical assets that includes ownership of the asset?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-01.2,Do you maintain a complete inventory of all of your critical supplier relationships?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-02.1,"Are physical security perimeters (e.g., fences, walls, barriers, guards, gates, electronic surveillance, physical authentication mechanisms, reception desks, and security patrols) implemented?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-03.1,Is automated equipment identification used as a method to validate connection authentication integrity based on known equipment location?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-04.1,"Do you provide tenants with documentation that describes scenarios in which data may be moved from one physical location to another (e.g., offsite backups, business continuity failovers, replication)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-05.1,Can you provide tenants with evidence documenting your policies and procedures governing asset management and repurposing of equipment?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-06.1,"Can you provide evidence that policies, standards, and procedures have been established for maintaining a safe and secure working environment in offices, rooms, facilities, and secure areas?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-06.2,"Can you provide evidence that your personnel and involved third parties have been trained regarding your documented policies, standards, and procedures?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-07.1,Do you allow tenants to specify which of your geographic locations their data is allowed to move into/out of (to address legal jurisdictional considerations based on where data is stored vs. accessed)?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-08.1,"Are ingress and egress points, such as service areas and other points where unauthorized personnel may enter the premises, monitored, controlled and isolated from data storage and process?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Datacenter Security,DCS-09.1,Do you restrict physical access to information assets and functions by users and support personnel?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-01.1,Do you have key management policies binding keys to identifiable owners?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-02.1,Do you have a capability to allow creation of unique encryption keys per tenant?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-02.2,Do you have a capability to manage encryption keys on behalf of tenants?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-02.3,Do you maintain key management procedures?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-02.4,Do you have documented ownership for each stage of the lifecycle of encryption keys?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-02.5,Do you utilize any third party/open source/proprietary frameworks to manage encryption keys?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-03.1,Do you encrypt tenant data at rest (on disk/storage) within your environment?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Encryption & Key Management,EKM-03.2,Do you leverage encryption to protect data and virtual machine images during transport across and between networks and hypervisor instances?,Partial,Model requests go to the endpoints the customer configures; hosted providers use HTTPS. There are no Lunos-operated networks or hypervisors.,
Encryption & Key Management,EKM-03.3,"Do you support tenant-generated encryption keys or permit tenants to encrypt data to an identity without access to a public key certificate (e.g., identity-based encryption)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
